iter	Passed	Remaining
830	19388	3942
831	19414	3920
832	19438	3896
833	19461	3873
834	19485	3850
835	19508	3826
836	19532	3803
837	19554	3780
838	19578	3756
839	19601	3733
840	19624	3710
841	19646	3686
842	19670	3663
843	19694	3640
844	19716	3616
845	19738	3593
846	19761	3569
847	19785	3546
848	19807	3522
849	19830	3499
850	19852	3476
851	19875	3452
852	19897	3429
853	19919	3405
854	19941	3381
855	19963	3358
856	19985	3334
857	20007	3311
858	20028	3287
859	20050	3264
860	20072	3240
861	20096	3217
862	20118	3193
863	20140	3170
864	20162	3146
865	20185	3123
866	20208	3099
867	20229	3076
868	20250	3052
869	20272	3029
870	20294	3005
871	20317	2982
872	20340	2958
873	20363	2935
874	20386	2912
875	20408	2888
876	20430	2865
877	20453	2842
878	20474	2818
879	20496	2794
880	20517	2771
881	20540	2748
882	20562	2724
883	20583	2700
884	20604	2677
885	20626	2653
886	20647	2630
887	20670	2607
888	20692	2583
889	20715	2560
890	20738	2537
891	20760	2513
892	20783	2490
893	20806	2467
894	20829	2443
895	20851	2420
896	20874	2396
897	20897	2373
898	20921	2350
899	20942	2326
900	20964	2303
901	20986	2280
902	21008	2256
903	21030	2233
904	21053	2210
905	21075	2186
906	21098	2163
907	21120	2139
908	21144	2116
909	21169	2093
910	21191	2070
911	21215	2047
912	21239	2023
913	21266	2000
914	21290	1977
915	21314	1954
916	21337	1931
917	21361	1908
918	21385	1884
919	21412	1861
920	21436	1838
921	21459	1815
922	21484	1792
923	21507	1769
924	21530	1745
925	21556	1722
926	21578	1699
927	21601	1676
928	21628	1653
929	21656	1630
930	21684	1607
931	21710	1584
932	21734	1560
933	21759	1537
934	21786	1514
935	21817	1491
936	21848	1469
937	21875	1445
938	21901	1422
939	21927	1399
940	21952	1376
941	21976	1353
942	21999	1329
943	22022	1306
944	22045	1283
945	22067	1259
946	22090	1236
947	22113	1212
948	22135	1189
949	22158	1166
950	22181	1142
951	22205	1119
952	22229	1096
953	22252	1072
954	22274	1049
955	22296	1026
956	22320	1002
957	22343	979
958	22365	956
959	22388	932
960	22410	909
961	22434	886
962	22457	862
963	22481	839
964	22504	816
965	22526	792
966	22552	769
967	22580	746
968	22607	723
969	22632	699
970	22662	676
971	22688	653
972	22713	630
973	22736	606
974	22760	583
975	22786	560
976	22810	536
977	22834	513
978	22858	490
979	22883	467
980	22908	443
981	22932	420
982	22958	397
983	22983	373
984	23007	350
985	23034	327
986	23061	303
987	23086	280
988	23112	257
989	23137	233
990	23163	210
991	23189	187
992	23215	163
993	23241	140
994	23265	116
995	23290	93
996	23316	70
997	23340	46
998	23366	23
999	23391	0
