iter	Passed	Remaining
909	1544	152
910	1546	151
911	1548	149
912	1549	147
913	1551	145
914	1553	144
915	1555	142
916	1556	140
917	1558	139
918	1560	137
919	1562	135
920	1563	134
921	1565	132
922	1566	130
923	1569	129
924	1570	127
925	1572	125
926	1574	123
927	1576	122
928	1577	120
929	1579	118
930	1580	117
931	1582	115
932	1584	113
933	1585	112
934	1587	110
935	1589	108
936	1591	107
937	1593	105
938	1594	103
939	1596	101
940	1597	100
941	1599	98
942	1601	96
943	1603	95
944	1605	93
945	1606	91
946	1608	90
947	1610	88
948	1611	86
949	1613	84
950	1614	83
951	1616	81
952	1618	79
953	1620	78
954	1622	76
955	1624	74
956	1626	73
957	1627	71
958	1629	69
959	1631	67
960	1633	66
961	1635	64
962	1637	62
963	1638	61
964	1640	59
965	1642	57
966	1643	56
967	1645	54
968	1647	52
969	1649	51
970	1650	49
971	1652	47
972	1654	45
973	1656	44
974	1657	42
975	1659	40
976	1661	39
977	1663	37
978	1664	35
979	1666	34
980	1668	32
981	1670	30
982	1671	28
983	1673	27
984	1674	25
985	1676	23
986	1677	22
987	1679	20
988	1681	18
989	1682	16
990	1684	15
991	1686	13
992	1687	11
993	1689	10
994	1690	8
995	1692	6
996	1694	5
997	1695	3
998	1697	1
999	1699	0
